E_Vm,DeltaMu_D,Theta_deg,Mu_eff_D,F_eps,FoldAccel,k_eff_Minv_sinv
10172383.385460906,15.0,30.0,3.0,1.0,1.0223425159613146,10.223425159613146
10172383.385460906,15.0,30.0,3.0,2.0,1.0449880753178609,10.449880753178608
10172383.385460906,15.0,30.0,3.0,3.0,1.0679348652851384,10.679348652851385
10172383.385460906,15.0,30.0,3.0,5.0,1.1147240853639957,11.147240853639957
10172383.385460906,15.0,45.0,1.0,1.0,1.0067794933944136,10.067794933944135
10172383.385460906,15.0,45.0,1.0,2.0,1.0135841688303493,10.135841688303493
10172383.385460906,15.0,45.0,1.0,3.0,1.0204139173726596,10.204139173726595
10172383.385460906,15.0,45.0,1.0,5.0,1.034148189421726,10.34148189421726
10172383.385460906,15.0,45.0,2.0,1.0,1.0135841688303493,10.135841688303493
10172383.385460906,15.0,45.0,2.0,2.0,1.0272686283610921,10.272686283610922
10172383.385460906,15.0,45.0,2.0,3.0,1.0410524864794202,10.410524864794201
10172383.385460906,15.0,45.0,2.0,5.0,1.0689146943469547,10.689146943469547
10172383.385460906,15.0,45.0,3.0,1.0,1.0204139173726596,10.204139173726595
10172383.385460906,15.0,45.0,3.0,2.0,1.0410524864794202,10.410524864794201
10172383.385460906,15.0,45.0,3.0,3.0,1.0619126276309347,10.619126276309348
10172383.385460906,15.0,45.0,3.0,5.0,1.1042846320513313,11.042846320513313
10172383.385460906,20.0,20.0,1.0,1.0,1.0077079110036202,10.077079110036202
10172383.385460906,20.0,20.0,1.0,2.0,1.0154539791524635,10.154539791524634
10172383.385460906,20.0,20.0,1.0,3.0,1.0232381730523774,10.232381730523773
10172383.385460906,20.0,20.0,1.0,5.0,1.038920802118591,10.38920802118591
10172383.385460906,20.0,20.0,2.0,1.0,1.0154539791524635,10.154539791524634
10172383.385460906,20.0,20.0,2.0,2.0,1.0310604592265504,10.310604592265504
10172383.385460906,20.0,20.0,2.0,3.0,1.046819164097118,10.468191640971181
10172383.385460906,20.0,20.0,2.0,5.0,1.078791977848542,10.78791977848542
10172383.385460906,20.0,20.0,3.0,1.0,1.0232381730523774,10.232381730523773
10172383.385460906,20.0,20.0,3.0,2.0,1.046819164097118,10.468191640971181
10172383.385460906,20.0,20.0,3.0,3.0,1.070741957194347,10.70741957194347
10172383.385460906,20.0,20.0,3.0,5.0,1.119608050272063,11.19608050272063
10172383.385460906,20.0,30.0,1.0,1.0,1.0074137285910139,10.074137285910139
10172383.385460906,20.0,30.0,1.0,2.0,1.0148612542905127,10.148612542905127
10172383.385460906,20.0,30.0,1.0,3.0,1.0223425159613146,10.223425159613146
10172383.385460906,20.0,30.0,1.0,5.0,1.037405992623913,10.37405992623913
10172383.385460906,20.0,30.0,2.0,1.0,1.0148612542905127,10.148612542905127
10172383.385460906,20.0,30.0,2.0,2.0,1.0298574504559739,10.298574504559738
