H2O2_uM,fold_enhancement,k2_eff_Minv_sinv,t5_seconds,t5_minutes
0.020624397525140926,3,30.0,82900.67515915651,1381.6779193192751
0.02110642679101555,3,30.0,81007.38682650094,1350.1231137750156
0.02159972194782717,3,30.0,79157.33747475462,1319.288957912577
0.022104546299710193,3,30.0,77349.53961065628,1289.158993510938
0.022621169304690263,3,30.0,75583.02829334799,1259.7171382224665
0.02314986671851161,3,30.0,73856.86061932314,1230.947676988719
0.02369092074182632,3,30.0,72170.11521913578,1202.835253652263
0.02424462017082331,3,30.0,70521.89176560557,1175.3648627600928
0.024811260551377706,3,30.0,68911.31049325423,1148.5218415542372
0.025391144336803468,3,30.0,67337.51172871579,1122.2918621452632
0.025984581049292473,3,30.0,65799.6554318729,1096.6609238645483
0.02659188744512691,3,30.0,64296.92074747195,1071.6153457911992
0.027213387683753087,3,30.0,62828.50556697829,1047.1417594496381
0.02784941350080644,3,30.0,61393.62610043866,1023.2271016739777
0.02850030438518105,3,30.0,59991.51645812002,999.8586076353337
0.02916640776023707,3,30.0,58621.42824170411,977.0238040284019
0.029848079169243275,3,30.0,57282.63014481834,954.7105024136389
0.030545682465154315,3,30.0,55974.40756268863,932.9067927114772
0.03125959000482285,3,30.0,54696.0622107081,911.601036845135
0.031990182847750674,3,30.0,53446.91175171694,890.7818625286158
0.032737850959485774,3,30.0,52226.289431793404,870.4381571965567
0.033502993419772295,3,30.0,51033.54372436371,850.5590620727286
0.03428601863556583,3,30.0,49868.03798243932,831.1339663739886
0.035087344559027143,3,30.0,48729.15009879635,812.1525016466059
0.03590739891061055,3,30.0,47616.272173916346,793.604536231939
0.03674661940736688,3,30.0,46528.81019150968,775.4801698584946
0.03760545399658176,3,30.0,45466.18370145016,757.7697283575027
0.03848436109487433,3,30.0,44427.82550995089,740.4637584991815
0.03938380983288489,3,30.0,43413.18137681494,723.5530229469156
0.04030428030568051,3,30.0,42421.70971960124,707.0284953266873
0.04124626382901348,3,30.0,41452.88132454623,690.8813554091038
0.04221026320156903,3,30.0,40506.17906408752,675.1029844014587
0.04319679297334174,3,30.0,39581.09762083918,659.6849603473197
0.044206379720285294,3,30.0,38677.14321787002,644.619053631167
0.04523956232538058,3,30.0,37793.83335514256,629.8972225857093
0.046296892266272684,3,30.0,36930.69655197121,615.5116091995202
0.04737893390963144,3,30.0,36087.2720953615,601.4545349226917
0.04848626481239078,3,30.0,35263.109794097436,587.7184965682906
0.04961947603002898,3,30.0,34457.76973844479,574.2961623074132
0.050779172432054036,3,30.0,33670.82206534216,561.1803677557026
